feature,importance
city_Nairobi,0.22281178922382627
city_Lagos,0.2094320329970256
avg_rating_given,0.16733103734782337
riders_referred,0.13760608684814987
peak_hour_ratio,0.06180287343656546
loyalty_encoded,0.0528835205741898
avg_trip_distance,0.027402050205771886
avg_fare,0.02037056325965225
avg_tip,0.020208589377759437
total_trips,0.013385341031783987
avg_trip_duration,0.013290090556328458
tip_rate,0.013273679225752648
age,0.013064426475631184
tenure_days,0.007622958411614018
activity_decline,0.005228670697756946
days_active,0.005205367693301831
trip_rate,0.005071657560312467
days_since_last_trip,0.0040092650767545365
